signature	comparison	grp1	grp2	pval	grp1.min	grp1.25	grp1.median	grp1.75	grp1.max	grp1.mean	grp2.min	grp2.25	grp2.median	grp2.75	grp2.max	grp2.mean	grp1.detection	grp2.detection	signif_label
SBS99	IHC-PHC	IHC	PHC	0.491942880214279	0	5.71582381906185e-05	0.00264148705001808	0.0195584883044867	0.196811597207638	0.0169210708356457	0	9.3665531267041e-05	0.0041526790124751	0.0263991790945603	0.134626364809062	0.0193235755322445	0.138236947791165	0.150054794520548	
SBS1	IHC-DCC	IHC	DCC	0.0136277902010868	0	0.0504697533516351	0.125311671883192	0.216278862791771	0.657665244130419	0.147058261955008	0.0137478887494914	0.0740043414504986	0.190268500277992	0.305707024159757	0.522885578845194	0.208159633618337	0.776377510040161	0.84878947368421	*
SBS10a	IHC-DCC	IHC	DCC	0.703668183223753	0	0	0	0	0.33422850358624	0.00134228314693269	0	0	0	0	0	0	0.00401606425702811	0	
SBS10b	IHC-DCC	IHC	DCC	0.50091966408603	0	0	0	0	0.485382024520957	0.00210988794834877	0	0	0	0	0	0	0.00693574297188755	0	
SBS10c	IHC-DCC	IHC	DCC	0.172010272597995	0	7.46523477962909e-05	0.00335280159748612	0.0284021951006346	0.164890620557453	0.0204601260337844	0	0	0.00175143058409892	0.00966680520835621	0.108328955075179	0.0131117957066404	0.186638554216867	0.109184210526316	
SBS10d	IHC-DCC	IHC	DCC	0.445616672150872	0	0	0	0.000802328917784679	0.052137493276421	0.00229479013840977	0	0	2.56056413756691e-05	0.00136319881459607	0.0309252120978297	0.00197423158563469	0.0242570281124498	0.0238157894736842	
SBS12	IHC-DCC	IHC	DCC	4.17963592427116e-05	0	0.000251080000417437	0.00485042358607518	0.0286393921662028	0.277448347730974	0.0243624997121209	0	0	5.8636768873929e-05	0.00298103557692846	0.0350108610518317	0.00457390244494547	0.196915662650602	0.0515789473684211	***
SBS13	IHC-DCC	IHC	DCC	5.53135907546933e-07	0	0	0.00360401537150435	0.028456177987897	0.298281397555889	0.0243071702401864	0	0.0115361187521136	0.0523206184461974	0.108389990551901	0.467818169172236	0.0795399143482839	0.262240963855422	0.570763157894737	***
SBS15	IHC-DCC	IHC	DCC	0.334198110356854	0	0	0	0	0.470417942801817	0.023091875577585	0	0	0	0	0.283429242490629	0.0244384057111351	0.0958955823293173	0.135368421052632	
SBS16	IHC-DCC	IHC	DCC	0.155372405260025	0	0	0.00308542467428734	0.0275709825835401	0.517768177215653	0.0347662224198684	0	0	0.00149115488735757	0.0087475038538055	0.191745059641611	0.0160834711807965	0.203333333333333	0.113236842105263	
SBS17a	IHC-DCC	IHC	DCC	0.955489965525341	0	0	0	0.0058647237039784	0.0706007577005264	0.0064060196315356	0	0	4.18288887499609e-05	0.00383769857169065	0.0210929759427553	0.00309673143191972	0.0844859437751004	0.0422105263157895	
SBS17b	IHC-DCC	IHC	DCC	0.0153619351086744	0	0	0	0.00424201078060717	0.153809985076058	0.00731884633579568	0	0	0.000802531318633841	0.0135278325857192	0.0774664926347886	0.0105906572035571	0.106461847389558	0.156815789473684	*
